,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
4996,2, Rt Nagar,13.03,77.601,950,150000,17000,Full Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rt-nagar-bangalore-for-rs-17000/8a9f86ab7062bc99017071297e8472dd/detail
4997,2, Akshayanagar,12.874,77.611,1188,100000,18000,Full Furnished,1-3 years ,Family,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-akshayanagar-bangalore-for-rs-18000/ff8081816861b7b5016861e732070bda/detail
4999,3, Akshayanagar,12.874,77.619,1410,200000,26500,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-akshayanagar-bangalore-for-rs-26500/8a9f9e8276f0e9960176f14c1a802094/detail
5001,2, Electronic City,12.85,77.648,970,75000,15000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-15000/ff8081816170153d016173c8d0c57490/detail
5003,1, Marathahalli,12.959,77.7,500,30000,6800,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-ashwath-nagar-marathahalli-bangalore-for-rs-6800/8a9f913d73c8cde20173c953d6443ab7/detail
5004,1, Marathahalli,12.959,77.7,500,30000,6800,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-ashwath-nagar-marathahalli-bangalore-for-rs-6800/8a9f913d73c8cde20173c953d6443ab7/detail
5007,3, Horamavu,13.025,77.66,1768,190000,20900,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-20900/ff8081816c477335016c47b5341a5302/detail
5008,2, Horamavu,13.025,77.66,1580,170000,16900,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-16900/8a9f911f736ad9fa01736ca3806b4a32/detail
5011,2, Rajajinagar,12.993,77.558,850,250000,22000,Semi Furnished,Under Construction,Family,01-Mar-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rajajinagar-bangalore-for-rs-22000/8a9fa78276f7fdfa0176f7ffb4320007/detail
5013,3, Electronic City,12.82,77.664,1500,150000,21000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-21000/8a9f9c8276dd99a50176de2685e03a66/detail
5015,2, Munnekollal,12.959,77.715,1395,125000,21500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-munnekollal-bangalore-for-rs-21500/8a9f9c8276dd99a50176ddeddf49246f/detail
5016,1, Doddanekkundi,12.972,77.694,900,140000,14000,UnFurnished,Under Construction,Family,15-Feb-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-14000/8a9f9f8276e2bfd90176e2cc5783025d/detail
5017,2, Arekere,12.888,77.595,1320,100000,27500,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-arekere-bangalore-for-rs-27500/ff8081816b53d471016b5489ce8729ad/detail
5020,2, Horamavu,13.027,77.656,1055,150000,25000,Full Furnished,3-5 years ,All,18-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-25000/ff80818161a240d00161a2572b7508d9/detail
5021,2, Mahadevapura,12.993,77.698,1020,150000,23000,Semi Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-23000/ff80818154c7efee0154c8a1a1e30fa4/detail
5022,3, Balagere,12.94,77.724,1421,150000,23000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-balagere-bangalore-for-rs-23000/ff80818168e5a4b50168e5d821501692/detail
5025,2, Electronic City,12.845,77.646,850,45000,12000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-12000/8a9f93ab73a922080173ae6aaf5404bf/detail
5026,2, Electronic City,12.837,77.698,1233,60000,15500,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-15500/ff8081816ba1b42c016ba70e2ac66c12/detail
5027,2, Hoodi,12.992,77.714,1065,100000,18000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-18000/ff80818162ddd5c40162e14d12752391/detail
5028,2, Electronic City,12.845,77.647,850,50000,12000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-12000/ff808181504c804801505661cae449e2/detail
5029,2, Doddanekkundi,12.974,77.709,1100,100000,23000,Full Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-23000/ff8081816e0dd528016e15f3f0283ea6/detail
5030,2, Doddanekkundi,12.974,77.709,1100,100000,23000,Full Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-23000/ff8081816e0dd528016e15f3f0283ea6/detail
5031,1, Vijaya Nagar,12.976,77.522,600,50000,5000,UnFurnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-vijaya-nagar-bangalore-for-rs-5000/8a9fb882767e5b3b01767e72a3860500/detail
5032,2, Kadugodi,12.986,77.759,850,60000,15000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadugodi-bangalore-for-rs-15000/8a9f82f675fd96990175fdef93de1495/detail
5033,1, Whitefield,12.986,77.759,500,50000,11000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-11000/8a9f9330764ffc700176506eed581e90/detail
5034,1, Ramamurthy Nagar,13.019,77.675,600,60000,8500,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-ramamurthy-nagar-bangalore-for-rs-8500/ff8081816d53e402016d5c2060e15666/detail
5035,1, Btm 2nd Stage,12.912,77.601,200,30000,7000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-btm-2nd-stage-bangalore-for-rs-7000/8a9f82a174e48a9d0174e9a407a37a73/detail
5037,2, Jayanagar,12.93,77.576,750,150000,15000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jayanagar-bangalore-for-rs-15000/8a9f82797641d052017642610f062dda/detail
5038,1, Hsr Layout,12.907,77.651,370,60000,15000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-15000/8a9f92fa72df512c0172e968097c0a13/detail
5040,1, Btm Layout,12.919,77.613,550,40000,9500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-9500/8a9fa98476dcf8450176dd3fa7fa146b/detail
5041,2, Yelahanka,13.086,77.622,1215,80000,24000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yelahanka-bangalore-for-rs-24000/8a9fad8276d684cc0176d724c3675ca4/detail
5042,1, Mahadevapura,12.988,77.69,400,50000,10000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-10000/8a9f9f8276e176810176e208d3ba3273/detail
5043,2, Kaggadasapura,12.978,77.675,1400,150000,22000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-22000/ff80818161ae60d90161b1aed11b5875/detail
5049,3, Whitefield,12.98,77.743,1455,150000,30000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-30000/8a9f93c3766725d7017667b46021193a/detail
5051,2, Btm Layout,12.909,77.608,1000,120000,22500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-22500/ff8081815c017e66015c02e437e94f20/detail
5052,3, Panathur,12.942,77.702,1530,100000,29000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-panathur-bangalore-for-rs-29000/ff808181647529360164787eecf63d11/detail
5053,2, Btm Layout,12.917,77.61,900,100000,16000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-16000/8a9fa58276dcf4c90176dcfb2d460158/detail
5055,1, Parappana Agrahara,12.876,77.669,1200,30000,8000,UnFurnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-parappana-agrahara-bangalore-for-rs-8000/8a9f9d8276db06550176db4a8d0413b0/detail
5056,2, Krishnarajapura,13.004,77.748,1190,100000,17500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-17500/ff8081816c5283e4016c52afe579294c/detail
5057,2, Kaggadasapura,12.976,77.678,600,50000,14000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-14000/8a9f92647313e228017314d4f6c3629e/detail
5058,1, Kaggadasapura,12.976,77.678,500,30000,10000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-10000/8a9f93687313e558017314bd1e5956b8/detail
5061,2,others,12.989,77.687,820,80000,16000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-misey-muniyappa-layout-b-narayanapura-mahadevapura-bengaluru-karnataka-560048-india-bangalore-for-rs-16000/ff8081816b2c7330016b2e11cc845731/detail
5062,3, Rayasandra,12.868,77.686,1640,120000,26000,Semi Furnished,Newly Constructed,All,18-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rayasandra-bangalore-for-rs-26000/8a9fa88376da615d0176daf893940ca5/detail
5065,2, Thanisandra,13.085,77.645,1276,78000,24000,Full Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-thanisandra-bangalore-for-rs-24000/8a9f821475cfecbe0175cff82c4904e7/detail
5069,2, Electronic City,12.84,77.646,1143,80000,13500,Semi Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-13500/ff8081816a06e834016a07201e76261c/detail
5070,2, Banaswadi,13.008,77.65,900,70000,13000,UnFurnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-13000/8a9f92d573cd39350173cf3567f95917/detail
5071,4, Hennur Gardens,13.034,77.636,2000,300000,38000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-hennur-gardens-bangalore-for-rs-38000/8a9f9c8276d5dfd20176d65624104290/detail
5072,1, Banaswadi,13.008,77.65,600,70000,11000,UnFurnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-11000/8a9f90827674ab4c017674b8b47c045f/detail
5073,3, Hebbal,13.028,77.603,1900,200000,30000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-30000/8a9f9e8276d5dfcc0176d653238d3f08/detail
5074,2, Hebbal,13.029,77.601,1500,80000,11000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-11000/8a9fb28276f0e9920176f0f871dd04d2/detail
5076,2, Kodihalli,12.963,77.646,1200,120000,27000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kodihalli-bangalore-for-rs-27000/ff8081816e6aacfb016e6b04c49f2387/detail
5077,3, Varthur,12.93,77.74,1655,150000,28000,Semi Furnished,Newly Constructed,All,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-varthur-bangalore-for-rs-28000/8a9fb882767fa4e301767fd4a2bf0ea3/detail
5078,2, Bilekahalli,12.901,77.609,1600,150000,23000,Semi Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bilekahalli-bangalore-for-rs-23000/8a9f92bf76c819950176c87814632217/detail
5079,2,others,13.02,77.675,900,100000,16000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kowdenahalli-ramamurthy-nagar-bengaluru-karnataka-india-bangalore-for-rs-16000/ff808181673f6dd401674024ffb47d4e/detail
5080,2, Bellandur,12.944,77.679,1195,80000,20000,Semi Furnished,3-5 years ,Family,31-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-20000/ff808181611cd05401611d793d2f53b3/detail
5081,2, Jalahalli West,13.061,77.511,800,110000,11000,Semi Furnished,1-3 years ,All,25-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jalahalli-west-bangalore-for-rs-11000/8a9fad8276f72a010176f73a10f10370/detail
5083,2, Hoodi,12.991,77.717,1170,100000,20000,Semi Furnished,5-10 years ,Family,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-20000/ff8081814e3fe9a1014e42e4eef50d1f/detail
5085,3, Ramamurthy Nagar,13.02,77.674,1000,150000,20000,UnFurnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--ramamurthy-nagar-bangalore-for-rs-20000/8a9f91ba7649b5a701764a4edcec039b/detail
5086,2, Panathur,12.931,77.711,1085,95000,22000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-panathur-bangalore-for-rs-22000/8a9f82b07555995a01755bcdb01a5708/detail
5087,2, Dooravani Nagar,13.004,77.664,900,50000,9000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-dooravani-nagar-bangalore-for-rs-9000/8a9f93f176122cca01761285e555192a/detail
5089,1, Btm Layout,12.922,77.601,800,100000,9000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-6th-main-road-btm-layout-bangalore-for-rs-9000/8a9fa78276dcf4c70176dd3ec7a9167f/detail
5091,3, Kaikondrahalli,12.917,77.675,1660,300000,30000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kaikondrahalli-bangalore-for-rs-30000/8a9f910475ac772a0175acd0662e2e2c/detail
5093,2, Rajaji Nagar,12.98,77.539,800,100000,8000,UnFurnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rajaji-nagar-bangalore-for-rs-8000/8a9f9d8276ea796f0176eae88f8922fa/detail
5094,3, Banashankari,12.922,77.539,1575,350000,27000,Semi Furnished,Newly Constructed,Family,10-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-banashankari-bangalore-for-rs-27000/ff8081816bea6fc6016beb40eb5006e0/detail
5095,1, Panathur,12.936,77.7,500,40000,9500,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-panathur-bangalore-for-rs-9500/8a9f998276dc502e0176dc6803a0081b/detail
5096,3, Bellandur,12.933,77.685,1672,250000,42000,Semi Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-42000/8a9f94917683820a0176841cde9d3461/detail
5098,2, Kadubeesanahalli,12.934,77.698,750,50000,12500,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-12500/8a9f988776dc4f750176dc60c469062f/detail
5099,1, Jayanagar,12.917,77.586,150,90000,9000,Full Furnished,5-10 years ,Bachelors,01-Apr-2021,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-jayanagar-bangalore-for-rs-9000/8a9fa78276f6b4c00176f77189c133bf/detail
5100,1, Horamavu,13.023,77.651,200,20000,5500,Semi Furnished,3-5 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-horamavu-bangalore-for-rs-5500/ff80818162c2e9040162c99a020000fc/detail
5101,1, Arekere,12.888,77.586,500,100000,10000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-santrupthi-nagar-jp-nagar-7th-phase-arekere-bangalore-for-rs-10000/8a9f9200766161070176617674c10570/detail
5104,1, Kalyan Nagar,13.026,77.641,500,50000,8500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kalyan-nagar-bangalore-for-rs-8500/ff808181696a8e4001696b0c84281892/detail
5105,3, Electronic City,12.842,77.646,1650,250000,25000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-25000/8a9fa48276d53ae40176d58972b1163f/detail
5106,2, Rajajinagar,13.0,77.55,900,165000,16500,UnFurnished,1-3 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rajajinagar-bangalore-for-rs-16500/8a9fa68276f6b4c90176f76108a630ad/detail
5107,2, Rajajinagar,13.0,77.55,900,165000,16500,UnFurnished,1-3 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rajajinagar-bangalore-for-rs-16500/8a9fa68276f6b4c90176f76108a630ad/detail
5108,2, Btm 2nd Stage,12.913,77.609,1190,100000,22000,Semi Furnished,5-10 years ,All,31-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-btm-2nd-stage-bangalore-for-rs-22000/ff808181651327f20165141996c9637a/detail
5109,2, Rayasandra,12.874,77.67,600,50000,6000,UnFurnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rayasandra-bangalore-for-rs-6000/8a9f988276d5dfd40176d6049fb9107d/detail
5113,3, Brookefield,12.971,77.715,1750,400000,39999,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-39999/8a9f9e8376c40a240176c41d5268088f/detail
5114,1, Bommanahalli,12.909,77.622,500,50000,8000,Semi Furnished,Newly Constructed,All,15-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-8000/ff80818165ff49e90166003e293f0fd1/detail
5115,1, Yeswanthpur,13.021,77.561,600,30000,5200,UnFurnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-yeswanthpur-bangalore-for-rs-5200/8a9f8ab56f6b4886016f6b87eb2f0b7d/detail
5116,3, Whitefield,12.971,77.747,1605,150000,28000,Semi Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-28000/8a9f9f8476f6b80c0176f769d8fb30c4/detail
5117,2, Yeshwanthpur,13.026,77.547,1131,280000,28000,Semi Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yeshwanthpur-bangalore-for-rs-28000/ff80818168f6fac60168f8dbfb9b3511/detail
5118,3, Brookefield,12.966,77.724,1397,200000,32000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-32000/ff8081816c4e017b016c4e14c1de071c/detail
5123,2, Hsr Layout,12.915,77.649,1000,100000,21000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-21000/ff8081816aedd3d9016aeed18dbd11d2/detail
5124,1, Kodihalli,12.961,77.648,400,50000,14500,Semi Furnished,1-3 years ,All,20-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kodihalli-bangalore-for-rs-14500/8a9fab8276f6b4b20176f726a70b2044/detail
5125,2, Akshayanagar,12.869,77.618,1140,60000,18000,Semi Furnished,Newly Constructed,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-akshayanagar-bangalore-for-rs-18000/8a9fa88276d53aea0176d570d3e8100b/detail
5126,2, Akshayanagar,12.869,77.618,1140,60000,18000,Semi Furnished,Newly Constructed,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-akshayanagar-bangalore-for-rs-18000/8a9fa88276d53aea0176d570d3e8100b/detail
5128,2, Banashankari,12.918,77.564,1373,150000,26000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banashankari-bangalore-for-rs-26000/ff8081815ef49ef8015ef5465627135b/detail
5130,2, Whitefield,12.949,77.722,1168,90000,24000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-24000/8a9f9c8276d3f15c0176d485a71e10b5/detail
5133,2, Hsr Layout,12.9,77.648,1040,150000,20500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-20500/ff80818167357bdb016735b7135b21ca/detail
5134,2, Basavanagudi,12.929,77.568,1400,125000,18000,Semi Furnished,1-3 years ,Family,15-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--basavanagudi-bangalore-for-rs-18000/8a9f92bd76b86b210176b8baa6e415d8/detail
5135,2, Electronic City,12.831,77.689,1130,50000,12500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-12500/ff80818164e0ecf90164e4e227bd2a27/detail
5137,1, Banashankari,12.922,77.567,500,60000,8000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-banashankari-bangalore-for-rs-8000/ff8081816c42a2d2016c42bb4e1f216f/detail
5139,1, Lingarajapuram,13.008,77.63,750,50000,8500,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-lingarajapuram-bangalore-for-rs-8500/ff80818159446661015944ddecc31f1e/detail
5140,1, Lingarajapuram,13.008,77.631,350,30000,5000,Semi Furnished,5-10 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-tank-bund-road-lingarajapuram-bangalore-for-rs-5000/8a9f82aa761a21eb01761c7345022701/detail
5141,2, Choodasandra,12.886,77.675,1000,100000,10000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-10000/ff8081816347aa8e016348e002f03a08/detail
5142,2, Basaveshwar Nagar,12.996,77.543,1200,120000,16000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-basaveshwar-nagar-bangalore-for-rs-16000/8a9fae8276d684c40176d6fdee1846cb/detail
5143,2, Hebbal,13.03,77.607,1325,100000,18000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-18000/8a9fb1c476d34bec0176d39f6ab0294b/detail
5144,2, Ejipura,12.941,77.628,700,60000,15000,Semi Furnished,5-10 years ,All,01-Mar-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ejipura-bangalore-for-rs-15000/8a9f8e8476f4c9830176f4dc35d203b7/detail
5145,1, Mahadevapura,12.989,77.676,365,50000,7500,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-7500/8a9f930873d76dd30173dc94ac597b22/detail
5150,3, Kengeri Satellite Town,12.934,77.48,1200,120000,12000,Full Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kengeri-satellite-town-bangalore-for-rs-12000/ff8081816eb674c0016eb69b757e23d8/detail
5151,1, Hebbal,13.03,77.598,300,60000,6000,UnFurnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-6000/ff8081815ffc4c84015ffc67cdf20e70/detail
5152,2, Koramangala,12.935,77.62,500,60000,20000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-20000/ff8081816c8fe2c0016c939797fc50f0/detail
5153,2, C V Raman Nagar,12.989,77.666,1000,50000,12500,UnFurnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-c-v-raman-nagar-bangalore-for-rs-12500/8a9f9c8876f60ea70176f6528dd416ce/detail
5155,2, C V Raman Nagar,12.989,77.666,1000,50000,12500,UnFurnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-c-v-raman-nagar-bangalore-for-rs-12500/8a9f9c8876f60ea70176f6528dd416ce/detail
5158,3, Rayasandra,12.874,77.669,1170,80000,16000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rayasandra-bangalore-for-rs-16000/ff80808149393cef0149601abba31607/detail
5159,2, Hebbal,13.028,77.605,900,80000,14000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-14000/8a9f9f8276c20a220176c3f3075f2bb1/detail
5162,2, Kasavanahalli,12.9,77.675,1335,120000,21000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-21000/ff8081816247374901624855f45632a4/detail
5164,2, Hongasandra,12.887,77.628,800,50000,11000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hongasandra-bangalore-for-rs-11000/ff80818161569477016156e8b1ee21bd/detail
