,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
8346,2, Bhoganhalli,12.927,77.701,1300,150000,25000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bhoganhalli-bangalore-for-rs-25000/8a9f9344746c8ba301746d211a0555ac/detail
8347,2,others,12.956,77.729,900,40000,14000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--whitefield--bangalore-for-rs-14000/8a9f93b376049d76017604d276220e42/detail
8349,1, Munnekollal,12.95,77.713,450,30000,10000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-munnekollal-bangalore-for-rs-10000/ff80818158cf50ee0158d41120347bc7/detail
8350,1, Hsr Layout,12.909,77.643,450,1000000,12000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-12000/8a9f91b974a1c2860174a1e996c70e00/detail
8351,2, Kothanur,13.061,77.64,1400,240000,24000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kothanur-bangalore-for-rs-24000/ff8081816b793591016b795df0ec1423/detail
8353,1, Mathikere,13.02,77.56,550,100000,10000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-mathikere-bangalore-for-rs-10000/ff80818163314a620163353edfd76d92/detail
8354,3, Electronic City,12.845,77.66,1665,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-20000/ff8081815a12f24b015a12f48ab903c7/detail
8355,1, Munnekollal,12.951,77.713,400,40000,11000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-munnekollal-bangalore-for-rs-11000/8a9f829572088a8301720915d5b62592/detail
8356,1, Rajaji Nagar,12.995,77.545,400,50000,6000,UnFurnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-rajaji-nagar-bangalore-for-rs-6000/ff8081816294ac17016294d495070cc3/detail
8357,2, Hebbal Kempapura,13.055,77.604,1100,130000,13000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bhuvaneshwari-nagar-hebbal-kempapura-bangalore-for-rs-13000/8a9f93a3760361e801760378c01b072e/detail
8359,2, Krishnarajapura,13.008,77.741,1210,150000,19000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-19000/8a9f82da70b045190170b9bd15030160/detail
8360,2, Panathur,12.942,77.701,1381,100000,23000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-panathur-bangalore-for-rs-23000/8a9f932a751cdb6401751fc2672c106c/detail
8361,1, Jp Nagar,12.864,77.577,350,35000,5500,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-5500/ff808181570f18bc01570f82cf83063e/detail
8363,2, Kasturi Nagar,13.006,77.657,1300,150000,25000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--kasturi-nagar-bangalore-for-rs-25000/ff8081816b1d5f0b016b1dd8a8fe56a4/detail
8364,1, Ramamurthy Nagar,13.021,77.676,700,40000,8000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-ramamurthy-nagar-bangalore-for-rs-8000/8a9f8cd0709bbe1f01709ff15ef01c88/detail
8365,2, Hsr Layout,12.909,77.643,700,50000,15000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-15000/8a9f91b874a1c2820174a2291abb20ef/detail
8366,3, Yelahanka New Town,13.112,77.571,1750,150000,24000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-yelahanka-new-town-bangalore-for-rs-24000/8a9f81e76fb49a31016fbd85f9587d96/detail
8367,1, Bommanahalli,12.904,77.622,800,60000,9500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-9500/ff8081815cb59627015cbb4b356c11ad/detail
8368,2, Jayanagar,12.936,77.578,500,130000,13000,UnFurnished,1-3 years ,Family,15-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jayanagar-bangalore-for-rs-13000/ff8081816bfad75e016bfbe8a6317918/detail
8369,1, Hebbal,13.051,77.57,450,70000,7000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-7000/ff8081815b869a39015b8acdfc944155/detail
8370,2, Varthur,12.941,77.751,1263,75000,18000,Semi Furnished,3-5 years ,All,15-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-varthur-bangalore-for-rs-18000/ff8081816ebbbc86016ebc11ba435ebd/detail
8373,2, Choodasandra,12.895,77.694,1000,150000,15000,Full Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-15000/ff808181665d466e01665d9e7a443419/detail
8375,2, Choodasandra,12.895,77.694,1000,150000,15000,Full Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-15000/ff808181665d466e01665d9e7a443419/detail
8377,1, Whitefield,12.949,77.733,600,20000,6500,Semi Furnished,Newly Constructed,Bachelors,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-varthur-road-whitefield-bangalore-for-rs-6500/ff8081816cb99326016cba2ea5d31019/detail
8379,1, Whitefield,12.984,77.749,1000,150000,16500,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-16500/ff808181644f763e016450d46f440acd/detail
8380,1, Marathahalli,12.959,77.71,600,40000,16000,UnFurnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-16000/ff808181555837c401555e599a8b3e17/detail
8384,1, Marathahalli,12.964,77.708,600,15000,8000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-8000/8a9f916b731830fb01731e17ac0b54b0/detail
8388,1, Banashankari,12.927,77.563,550,70000,9500,Semi Furnished,5-10 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-banashankari-bangalore-for-rs-9500/ff8081816ec15144016ec3c1095b00ed/detail
8389,2, Mahadevapura,12.991,77.691,1120,100000,25000,Full Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-25000/8a9f92d874f1e1790174f3e8ecf6121a/detail
8391,2, Yelahanka,13.115,77.578,1040,60000,14500,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yelahanka-bangalore-for-rs-14500/ff8081816078731c0160789e31a213da/detail
8392,1, Electronic City,12.857,77.68,350,15000,5000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-5000/ff808181507adc1001507ae0b7b90031/detail
8394,1, Ramamurthy Nagar,13.008,77.668,500,50000,10000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-ramamurthy-nagar-bangalore-for-rs-10000/ff8081816aef7b90016aeffeda0b222b/detail
8395,2, Hebbal Kempapura,13.051,77.599,1400,150000,15000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hebbal-kempapura-bangalore-for-rs-15000/8a9f921a75a2789e0175a346795f6828/detail
