BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
2, Kh Road,12.958,77.593,900,200000,20000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kh-road-bangalore-for-rs-20000/8a9f92d673cd3a7b0173ce252367755e/detail
2, Kh Road,12.958,77.593,900,200000,20000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kh-road-bangalore-for-rs-20000/8a9f92d673cd3a7b0173ce252367755e/detail
2, Virupakshapura,13.066,77.569,1156,150000,19000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-virupakshapura-bangalore-for-rs-19000/8a9fad8276891cda01768936ecb4083a/detail
3, Vijaya Nagar,12.976,77.526,1800,200000,33000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-vijaya-nagar-bangalore-for-rs-33000/8a9fa08276f4c6200176f53426ad1f00/detail
2, Hsr Layout,12.906,77.638,1000,150000,22000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-22000/ff8081815e1d947c015e229b768f7032/detail
2, Nagondanahalli,12.975,77.768,1000,120000,18000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-nagondanahalli-bangalore-for-rs-18000/8a9f9130747ca48101747fe828da267d/detail
2, Btm 1st Stage,12.918,77.605,930,150000,18000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-btm-1st-stage-bangalore-for-rs-18000/8a9f92d37426500701742933ffc71215/detail
3, Kaikondrahalli,12.917,77.677,1600,80000,19000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kaikondrahalli-bangalore-for-rs-19000/8a9f91d573f7ae140173fae4813b0a79/detail
3, Whitefiled,12.985,77.761,1890,112500,37500,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefiled-bangalore-for-rs-37500/ff80818169f70d6d0169f80526145591/detail
1, Begur,12.885,77.629,400,30000,7000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-begur-bangalore-for-rs-7000/8a9f92267458e0410174599ac8d05c17/detail
3, Banashankari,12.921,77.55,1200,190000,19000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-banashankari-bangalore-for-rs-19000/ff80818164a6e3630164a6e6810a01b2/detail
2, Hsr Layout,12.92,77.647,800,80000,23000,Semi Furnished,1-3 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-23000/8a9f93a473398a6b01733e35b1642ffe/detail
2, Chikkakannalli,12.896,77.708,1026,240000,24000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chikkakannalli-bangalore-for-rs-24000/8a9f938874cec6ed0174d017f74a759a/detail
2, Chikkakannalli,12.895,77.702,1150,100000,19000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chikkakannalli-bangalore-for-rs-19000/ff80818157529ffb015761014d8a3abc/detail
3, Mathikere,13.04,77.555,1230,210000,22000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mathikere-bangalore-for-rs-22000/ff8081815ebd9b46015ebdb5cd370420/detail
3, Virupakshapura,13.065,77.574,1400,80000,20000,Semi Furnished,5-10 years ,All,15-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-virupakshapura-bangalore-for-rs-20000/8a9fac8276f044c40176f05c91fd0801/detail
2, Mahadevapura,12.994,77.665,1242,300000,35000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-35000/ff8081816574a3200165755d3c5c6a96/detail
